Barcode,Category,Sub_category,Rating,RateCount
2123450,Absinthe,N/A,0,0
2123451,Brandy,N/A,0,0
2123452,Brandy,N/A,0,0
2123453,Brandy,N/A,0,0
2123454,Brandy,N/A,0,0
2123455,Brandy,N/A,0,0
2123456,Brandy,N/A,0,0
2123457,Brandy,N/A,0,0
2123458,Brandy,N/A,0,0
2123459,Brandy,N/A,0,0
2123460,Cognac,N/A,0,0
2123461,Cognac,N/A,0,0
2123462,Everclear,N/A,0,0
2123463,Gin,N/A,0,0
2123464,Gin,N/A,0,0
2123465,Gin,N/A,0,0
2123466,Gin,N/A,0,0
2123467,Liquer,N/A,0,0
2123468,Liquer,N/A,0,0
2123469,Liquer,N/A,0,0
2123470,Liquer,N/A,0,0
2123471,Liquer,N/A,0,0
2123472,Liquer,N/A,0,0
2123473,Liquer,N/A,0,0
2123474,Liquer,N/A,0,0
2123475,Liquer,N/A,0,0
2123476,Liquer,N/A,0,0
2123477,Liquer,N/A,0,0
2123478,Liquer,N/A,0,0
2123479,Liquer,N/A,0,0
2123480,Liquer,N/A,0,0
2123481,Liquer,N/A,0,0
2123482,Rum,N/A,0,0
2123483,Rum,N/A,0,0
2123484,Rum,N/A,0,0
2123485,Rum,N/A,0,0
2123486,Rum,N/A,0,0
2123487,Sake,N/A,0,0
2123488,Schnapps,N/A,0,0
2123489,Schnapps,N/A,0,0
2123490,Schnapps,N/A,0,0
2123491,Schnapps,N/A,0,0
2123492,Schnapps,N/A,0,0
2123493,Schnapps,N/A,0,0
2123494,Schnapps,N/A,0,0
2123495,Schnapps,N/A,0,0
2123496,Tequila,N/A,0,0
2123497,Tequila,N/A,0,0
2123498,Tequila,N/A,0,0
2123499,Vermouth,N/A,0,0
2123500,Vodka,N/A,0,0
2123501,Vodka,N/A,0,0
2123502,Vodka,N/A,0,0
2123503,Vodka,N/A,0,0
2123504,Whiskey,N/A,0,0
2123505,Whiskey,N/A,0,0
2123506,Whiskey,Bourbon,0,0
2123507,Whiskey,Scotch,0,0
2123508,Whiskey,Irish,0,0
2123509,Whiskey,Canadian,0,0
2123510,Whiskey,Scotch,0,0
2123511,Wine,Fortified,0,0
2123512,Wine,Fortified,0,0
2123513,Wine,Fortified,0,0
2123514,Wine,Fortified,0,0
2123515,Wine,Red,0,0
2123516,Wine,Red,0,0
2123517,Wine,Sparkling,0,0
2123518,Wine,Sparkling,0,0
2123519,Wine,Sparkling,0,0
2123520,Wine,White,0,0
2123521,Wine,White,0,0
2123522,Wine,White,0,0
2123523,Beer,Bottled Domestic,0,0
2123524,Beer,Bottled Domestic,0,0
2123525,Beer,Bottled Domestic,0,0
2123526,Beer,Bottled Domestic,0,0
2123527,Beer,Bottled Domestic,0,0
2123528,Beer,Bottled Domestic,0,0
2123529,Beer,Bottled Domestic,0,0
2123530,Beer,Bottled Domestic,0,0
2123531,Beer,Bottled Other,0,0
2123532,Beer,Bottled Other,0,0
2123533,Beer,Bottled Other,0,0
2123534,Beer,Bottled Other,0,0
2123535,Beer,Bottled Other,0,0
2123536,Beer,Bottled Other,0,0
2123537,Beer,Bottled Other,0,0
2123538,Beer,Bottled Other,0,0
2123539,Beer,Bottled Other,0,0
2123540,Beer,Mexican,0,0
2123541,Beer,Mexican,0,0
2123542,Beer,Mexican,0,0
2123543,Beer,Mexican,0,0
2123544,Beer,Mexican,0,0
2123545,Beer,Can,0,0
2123546,Beer,Can,0,0
2123547,Beer,Bottled Domestic,0,0
2123548,Beer,Bottled Domestic,0,0
2123549,Beer,Bottled Domestic,0,0
2123550,Beer,Bottled Domestic,0,0
2123551,Beer,Can,0,0
