Barcode,Category,Sub_category,Rating,RateCount
2123552,Soda,N/A,0,0
2123553,Soda,N/A,0,0
2123554,Soda,N/A,0,0
2123555,Soda,N/A,0,0
2123556,Juice,N/A,0,0
2123557,Juice,N/A,0,0
2123558,Juice,N/A,0,0
2123559,Juice,N/A,0,0
2123560,Juice,N/A,0,0
2123561,Juice,N/A,0,0
2123562,Tonic ,N/A,0,0
2123563,Non-Alcoholic Wine,N/A,0,0
2123564,Non-Alcoholic Beer,N/A,0,0
2123565,Tea,N/A,0,0
2123566,Coffee,N/A,0,0
2123567,Food,N/A,0,0
2123568,Food,N/A,0,0
2123569,Food,N/A,0,0
2123570,Food,N/A,0,0
2123571,Food,N/A,0,0
