Barcode,Product,Price,Stock,Package
2123450,Absinthe,6,5,Bottles
2123451,Apple Brandy,4,11,Bottles
2123452,Applejack,12,4,Bottles
2123453,Apricot Brandy,3,3,Bottles
2123454,Armagnac,5,4,Bottles
2123455,Calvados,4,9,Bottles
2123456,Cherry Brandy,11,1,Bottles
2123457,Ginger Brandy,1,15,Bottles
2123458,Grappa,8,13,Bottles
2123459,Peach Brandy,1,23,Bottles
2123460,Courvoisier Cognac,11,4,Bottles
2123461,Hennessy Cognac VS,10,17,Bottles
2123462,Everclear,9,1,Bottles
2123463,Bulldog Gin,10,3,Bottles
2123464,Dry Gin,5,2,Bottles
2123465,Sloe Gin,7,10,Bottles
2123466,Jegermeister,6,5,Bottles
2123467,Amaretto,5,9,Bottles
2123468,Benedictine,5,5,Bottles
2123469,Dekuyper Razzmatazz,9,1,Bottles
2123470,Crème de Cacao,5,3,Bottles
2123471,Crème de Coconut,2,16,Bottles
2123472,Kahlua,10,1,Bottles
2123473,Blue Curacao,2,18,Bottles
2123474,Frangelico,9,1,Bottles
2123475,Galliano,7,4,Bottles
2123476,Bailey's Irish Cream,2,2,Bottles
2123477,Midori,6,9,Bottles
2123478,Crème de Menthe,12,10,Bottles
2123479,Triple Sec,12,13,Bottles
2123480,Tuaca,10,3,Bottles
2123481,Sambuca,7,4,Bottles
2123482,Bacardi Gold,10,8,Bottles
2123483,Stroh Rum,1,9,Bottles
2123484,Kraken Black Spiced Rum,6,16,Bottles
2123485,Malibu Rum,2,3,Bottles
2123486,Bacardi Spiced Rum,4,2,Bottles
2123487,Sake,8,3,Bottles
2123488,Apple Pucker,12,7,Bottles
2123489,Butter Shots,10,4,Bottles
2123490,Firewater,1,1,Bottles
2123491,Goldschlager,4,24,Bottles
2123492,Cherry Pucker,7,15,Bottles
2123493,Peach Pucker,1,1,Bottles
2123494,Peppermint Schnapps,3,4,Bottles
2123495,Rumple Minze,9,7,Bottles
2123496,Hornitos Reposado Tequila,6,18,Bottles
2123497,Jose Cuervo Reserva,11,6,Bottles
2123498,Patron Silver,11,1,Bottles
2123499,Dry Vermouth,5,17,Bottles
2123500,Smirnoff Vodka,2,3,Bottles
2123501,Absolut Vodka,10,16,Bottles
2123502,Ketel One Vodka,3,1,Bottles
2123503,Skky Vodka,12,5,Bottles
2123504,Jacob's Ghost White Whiskey,3,11,Bottles
2123505,Rock and Rye,1,28,Bottles
2123506,Wild Turkey 101 Proof Bourbon,10,8,Bottles
2123507,Glenlivet,10,6,Bottles
2123508,Jameson's Irish Whickey,8,10,Bottles
2123509,Canadian Mist,7,3,Bottles
2123510,Johnnie Walker Scotch,5,15,Bottles
2123511,Dry Sherry,10,3,Bottles
2123512,Lillet Blanc,2,16,Bottles
2123513,Madeira,6,7,Bottles
2123514,Port,10,7,Bottles
2123515,Cabernet,2,9,Bottles
2123516,Sangria,1,3,Bottles
2123517,Cava,10,6,Bottles
2123518,Dom Perignon,10,10,Bottles
2123519,Prosecco,8,4,Bottles
2123520,Cocchi Americano,3,19,Bottles
2123521,Gewurztraminer,6,3,Bottles
2123522,Sauterne,2,2,Bottles
2123523,Bud,1,1,12-Packs
2123524,Bud Light,11,21,12-Packs
2123525,Bud Light Lime,3,2,12-Packs
2123526,Coors,8,8,12-Packs
2123527,Coors Light,9,23,12-Packs
2123528,Miller Lite,1,31,12-Packs
2123529,MGD,1,20,12-Packs
2123530,Michelob Ultra,10,10,12-Packs
2123531,Fat Tire,5,2,12-Packs
2123532,1554,12,9,12-Packs
2123533,Sunshine,8,6,12-Packs
2123534,Heineken,3,5,12-Packs
2123535,New Castle,7,7,12-Packs
2123536,Guiness,5,15,12-Packs
2123537,Leinenkugels,3,14,12-Packs
2123538,Red Stripe,7,14,12-Packs
2123539,Alaskan Amber,10,2,12-Packs
2123540,Tecate,9,14,12-Packs
2123541,Dos XXX,5,13,12-Packs
2123542,Negra Modelo,12,7,12-Packs
2123543,Corona,2,5,12-Packs
2123544,Pacifico,5,2,12-Packs
2123545,Pabst Blue Ribbon,2,10,12-Packs
2123546,Chelada,5,6,12-Packs
2123547,Fat Tire,2,1,12-Packs
2123548,Blue Moon,8,2,12-Packs
2123549,New Belgium (Seasonal),1,18,12-Packs
2123550,Shock Top,9,18,12-Packs
2123551,Keystone,6,11,12-Packs
